koaid,night,order,wave_min,wave_max,n_valid,n_good,frac_good,frac_zero,snr_valid,snr_good,med_counts,med_frac_use,fwhm,flag_masked,flag_lowsnr,resid,resid_format,resid_det,nsigma,snr_rel,snr_rel_ratio,flag_anomaly,use
HI.19980717.32194,19980717,68,5205.1713,5279.8909,2040,1726,0.8461,0.0039,139.2731,139.2624,30832.4443,0.9227,2.2120,0,0,0.0016,0.0009,0.0007,0.6563,1.4536,1.0683,0,1
HI.19980717.32194,19980717,67,5282.8508,5358.6809,2040,1678,0.8225,0.0039,144.6441,144.5429,34788.8680,0.9227,2.2111,0,0,0.0084,0.0070,0.0014,1.4001,1.5087,1.0781,0,1
HI.19980717.32194,19980717,66,5362.8797,5439.8483,2040,1594,0.7814,0.0039,147.0971,146.6366,36742.8203,0.9195,2.1894,0,0,0.0049,0.0047,0.0002,0.1827,1.5306,1.0753,0,1
HI.19980717.32194,19980717,65,5445.3761,5523.5297,2040,1608,0.7882,0.0039,148.8684,148.9621,38448.3208,0.9210,2.1607,0,0,0.0016,0.0010,0.0007,0.6347,1.5548,1.0839,0,1
HI.19980717.32194,19980717,64,5530.4484,5609.8141,2040,1556,0.7627,0.0039,150.5267,150.7144,40195.0916,0.9198,2.1532,0,0,-0.0024,-0.0017,-0.0007,-0.6491,1.5731,1.0852,0,1
HI.19980717.32194,19980717,63,5618.2230,5698.8345,2040,1219,0.5975,0.0039,153.4488,153.4220,42764.7986,0.9071,2.1574,0,0,-0.0016,-0.0023,0.0007,0.6480,1.6014,1.0929,0,1
HI.19980717.32194,19980717,62,5708.8277,5790.7315,2041,1231,0.6031,0.0034,156.6628,156.5045,46178.7472,0.9073,2.1742,0,0,-0.0003,0.0002,-0.0005,-0.4592,1.6336,1.0956,0,1
HI.19980717.32194,19980717,61,5802.4092,5885.6323,2041,1084,0.5311,0.0034,160.2507,159.7364,50204.5349,0.9023,2.1704,0,0,0.0008,0.0024,-0.0015,-1.4759,1.6673,1.1017,0,1
HI.19980717.32194,19980717,60,5899.1160,5983.6935,2041,852,0.4174,0.0034,162.6365,162.1421,52917.7591,0.8936,2.1792,1,0,nan,0.0014,nan,nan,nan,nan,0,0
HI.19980717.32194,19980717,59,5999.0895,6085.0900,2041,647,0.3170,0.0034,166.1347,163.9377,57290.1548,0.8861,2.1775,1,0,nan,0.0021,nan,nan,nan,nan,0,0
HI.19980717.32194,19980717,58,6102.5187,6189.9649,2041,719,0.3523,0.0034,165.5662,163.7806,57171.2302,0.8884,2.2081,1,0,nan,-0.0030,nan,nan,nan,nan,0,0
HI.19980717.32194,19980717,57,6209.5937,6261.8910,1165,666,0.5717,0.4312,164.6194,162.0144,57171.5080,0.9747,2.1748,0,0,nan,0.0041,nan,nan,1.6911,1.0798,0,1
HI.19980717.48747,19980717,93,3806.2087,3860.6687,2037,2032,0.9975,0.0054,48.3492,48.3402,2548.8333,0.9656,2.0596,0,0,-0.0297,-0.0296,-0.0001,-0.1186,0.4235,1.0102,0,1
HI.19980717.48747,19980717,92,3847.5679,3902.6290,2037,2026,0.9946,0.0054,57.8050,57.8158,3702.7695,0.9678,2.0973,0,0,0.0208,0.0207,0.0001,0.0848,0.5065,1.0081,0,1
